Category,Product Name,Product ID,Unit,Unit ID,Is Default Unit,Tax Rate,Stock Follow,Price,Order Type
İçecekler,Coca Cola (330 ml),356491,Tam,366566,True,0.0,False,79.9,1
İçecekler,Coca Cola (330 ml),356491,Tam,366566,True,0.0,False,79.9,3
İçecekler,Coca Cola (330 ml),356491,Tam,366566,True,0.0,False,79.9,5
İçecekler,COLA ŞEKERSİZ,383290,Tam,392950,False,10.0,False,79.9,1
İçecekler,COLA ŞEKERSİZ,383290,Tam,392950,False,10.0,False,79.9,3
İçecekler,COLA ŞEKERSİZ,383290,Tam,392950,False,10.0,False,79.9,5
İçecekler,FANTA,356495,Tam,366569,True,10.0,False,79.9,1
İçecekler,FANTA,356495,Tam,366569,True,10.0,False,79.9,3
İçecekler,FANTA,356495,Tam,366569,True,10.0,False,79.9,5
İçecekler,Susurluk Ayranı (250 ml),356499,Tam,366572,True,10.0,False,79.9,1
İçecekler,Susurluk Ayranı (250 ml),356499,Tam,366572,True,10.0,False,79.9,3
İçecekler,Susurluk Ayranı (250 ml),356499,Tam,366572,True,10.0,False,79.9,5
İçecekler,SPRITE,356500,Tam,366574,True,10.0,False,79.9,1
İçecekler,SPRITE,356500,Tam,366574,True,10.0,False,79.9,3
İçecekler,SPRITE,356500,Tam,366574,True,10.0,False,79.9,5
İçecekler,ICE TEA LİMON,356498,Tam,366573,True,10.0,False,79.9,1
İçecekler,ICE TEA LİMON,356498,Tam,366573,True,10.0,False,79.9,3
İçecekler,ICE TEA LİMON,356498,Tam,366573,True,10.0,False,79.9,5
İçecekler,ICE TEA ŞEFTALİ,383291,Tam,392951,False,10.0,False,79.9,1
İçecekler,ICE TEA ŞEFTALİ,383291,Tam,392951,False,10.0,False,79.9,3
İçecekler,ICE TEA ŞEFTALİ,383291,Tam,392951,False,10.0,False,79.9,5
İçecekler,ICE TEA MANGO,544374,Tam,560890,True,10.0,False,79.9,1
İçecekler,ICE TEA MANGO,544374,Tam,560890,True,10.0,False,79.9,3
İçecekler,ICE TEA MANGO,544374,Tam,560890,True,10.0,False,79.9,5
İçecekler,CAPPY KARIŞIK,544292,Tam,560808,True,10.0,False,79.9,1
İçecekler,CAPPY KARIŞIK,544292,Tam,560808,True,10.0,False,79.9,3
İçecekler,CAPPY KARIŞIK,544292,Tam,560808,True,10.0,False,79.9,5
İçecekler,CAPPY PORTAKAL,544293,Tam,560809,True,10.0,False,79.9,1
İçecekler,CAPPY PORTAKAL,544293,Tam,560809,True,10.0,False,79.9,3
İçecekler,CAPPY PORTAKAL,544293,Tam,560809,True,10.0,False,79.9,5
İçecekler,CAPPY VİŞNE,356497,Tam,366571,True,10.0,False,79.9,1
İçecekler,CAPPY VİŞNE,356497,Tam,366571,True,10.0,False,79.9,3
İçecekler,CAPPY VİŞNE,356497,Tam,366571,True,10.0,False,79.9,5
İçecekler,CAPPY ŞEFTALİ,544294,Tam,560810,True,10.0,False,79.9,1
İçecekler,CAPPY ŞEFTALİ,544294,Tam,560810,True,10.0,False,79.9,3
İçecekler,CAPPY ŞEFTALİ,544294,Tam,560810,True,10.0,False,79.9,5
İçecekler,SODA,356496,Tam,366570,True,10.0,False,39.9,1
İçecekler,SODA,356496,Tam,366570,True,10.0,False,39.9,3
İçecekler,SODA,356496,Tam,366570,True,10.0,False,39.9,5
İçecekler,CAM SU,363623,Tam,373684,False,10.0,False,34.9,1
İçecekler,CAM SU,363623,Tam,373684,False,10.0,False,34.9,3
İçecekler,CAM SU,363623,Tam,373684,False,10.0,False,34.9,5
İçecekler,İÇECEK İSTEMİYORUM,986253,Tam,1032760,True,10.0,False,-19.9,1
İçecekler,İÇECEK İSTEMİYORUM,986253,Tam,1032760,True,10.0,False,-19.9,3
İçecekler,İÇECEK İSTEMİYORUM,986253,Tam,1032760,True,10.0,False,-19.9,5
Burger Menüler,Burgerator Burger Menü,980599,100,1026775,True,1.0,False,399.6,1
