Group ID,Group Name,Feature Name,Feature ID,Product ID,Additional Price,Header,Mandatory,Selection Type
7090,Extra Ürünler,Extra Cheddar,415824,980599,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,980599,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,980599,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,980599,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,980599,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,980599,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987154,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987154,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987154,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987154,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987154,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987154,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987155,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987155,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987155,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987155,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987155,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987155,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987181,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987181,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987181,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987181,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987181,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987181,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987182,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987182,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987182,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987182,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987182,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987182,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987183,15.0,Extra Ürünler,0,Çoklu Seçim
7090,Extra Ürünler,Extra Cheddar,415824,987183,15.0,Extra Ürünler,0,Çoklu Seçim
