Order ID,Table,Waiter,Order Total,Tax,Currency,Insert Date,Order Type,Status,Product,Quantity,Unit Price,Total Product Price,Product Description,Features
309129085,,can,619.92,56.36,TRY,2025-07-14T22:07:19.72,Paket Siparişi,Kapandı,Burgerator Burger Menü,1.0,619.92,619.92,,
309129085,,can,619.92,56.36,TRY,2025-07-14T22:07:19.72,Paket Siparişi,Kapandı,200 Gram,1.0,0.0,0.0,,
309129085,,can,619.92,56.36,TRY,2025-07-14T22:07:19.72,Paket Siparişi,Kapandı,Sos İstemiyorum,1.0,0.0,0.0,,
309129085,,can,619.92,56.36,TRY,2025-07-14T22:07:19.72,Paket Siparişi,Kapandı,Coca Cola (330 ml),1.0,0.0,0.0,,
309129085,,can,619.92,56.36,TRY,2025-07-14T22:07:19.72,Paket Siparişi,Kapandı,Orta Pişmiş,1.0,0.0,0.0,,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,Burgerator Burger Menü,1.0,440.91,440.91,,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,100 g,1.0,0.0,0.0,Gramaj Seçimi,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,Normal Pişmiş,1.0,0.0,0.0,Pişirme Derecesi Tercihi,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,Sprite (330 ml),1.0,0.0,0.0,İçecek Tercihi,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,Burgerator Burger Menü,1.0,440.91,440.91,,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,100 g,1.0,0.0,0.0,Gramaj Seçimi,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,Normal Pişmiş,1.0,0.0,0.0,Pişirme Derecesi Tercihi,
309130026,,can,881.82,80.16,TRY,2025-07-14T22:09:24.647,Paket Siparişi,Kapandı,Coca Cola (330 ml),1.0,0.0,0.0,İçecek Tercihi,
309130749,,can,449.91,40.9,TRY,2025-07-14T22:11:05.657,Paket Siparişi,Kapandı,Truffles Burger Menü,1.0,449.91,449.91,,
309130749,,can,449.91,40.9,TRY,2025-07-14T22:11:05.657,Paket Siparişi,Kapandı,100 Gram,1.0,0.0,0.0,,
309130749,,can,449.91,40.9,TRY,2025-07-14T22:11:05.657,Paket Siparişi,Kapandı,Coca Cola (330 ml),1.0,0.0,0.0,,
309130749,,can,449.91,40.9,TRY,2025-07-14T22:11:05.657,Paket Siparişi,Kapandı,Normal Pişmiş,1.0,0.0,0.0,,
309130749,,can,449.91,40.9,TRY,2025-07-14T22:11:05.657,Paket Siparişi,Kapandı,Sos İstemiyorum,1.0,0.0,0.0,,
309131603,,can,438.67,53.17,TRY,2025-07-14T22:13:08.097,Paket Siparişi,Kapandı,Burgerator Burger Menü,1.0,584.9,584.9,,
309131603,,can,438.67,53.17,TRY,2025-07-14T22:13:08.097,Paket Siparişi,Kapandı,Normal Pişmiş,1.0,0.0,0.0,,
309131603,,can,438.67,53.17,TRY,2025-07-14T22:13:08.097,Paket Siparişi,Kapandı,100 gr.,1.0,0.0,0.0,,
309131603,,can,438.67,53.17,TRY,2025-07-14T22:13:08.097,Paket Siparişi,Kapandı,Lipton Ice Tea  Şeftali (33 cl.),1.0,0.0,0.0,,
309131998,,can,982.35,119.07,TRY,2025-07-14T22:14:05.57,Paket Siparişi,Kapandı,Burgerator Burger (140 gr.) Menü,2.0,654.9,1309.8,,
309131998,,can,982.35,119.07,TRY,2025-07-14T22:14:05.57,Paket Siparişi,Kapandı,Burger,2.0,0.0,0.0, | Özellikler Normal Pişmiş,
309131998,,can,982.35,119.07,TRY,2025-07-14T22:14:05.57,Paket Siparişi,Kapandı,Coca-Cola (33 cl.),2.0,0.0,0.0,,
309134271,,can,1784.7,216.33,TRY,2025-07-14T22:19:36.267,Paket Siparişi,Kapandı,Coca-Cola (33 cl.),4.0,0.0,0.0,,
309134271,,can,1784.7,216.33,TRY,2025-07-14T22:19:36.267,Paket Siparişi,Kapandı,Orta Pişmiş,4.0,0.0,0.0,,
309134271,,can,1784.7,216.33,TRY,2025-07-14T22:19:36.267,Paket Siparişi,Kapandı,100 gr.,4.0,0.0,0.0,,
309134271,,can,1784.7,216.33,TRY,2025-07-14T22:19:36.267,Paket Siparişi,Kapandı,İstemiyorum,4.0,0.0,0.0,,
309134271,,can,1784.7,216.33,TRY,2025-07-14T22:19:36.267,Paket Siparişi,Kapandı,Mushroom Burger Menü,4.0,594.9,2379.6,,
309135388,,can,509.92,61.81,TRY,2025-07-14T22:22:22.95,Paket Siparişi,Kapandı,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,,
309135388,,can,509.92,61.81,TRY,2025-07-14T22:22:22.95,Paket Siparişi,Kapandı,100 gr.,1.0,0.0,0.0,,
309135388,,can,509.92,61.81,TRY,2025-07-14T22:22:22.95,Paket Siparişi,Kapandı,Normal Pişmiş,1.0,0.0,0.0,,
309135388,,can,509.92,61.81,TRY,2025-07-14T22:22:22.95,Paket Siparişi,Kapandı,Anadolu Burger Menü,1.0,679.9,679.9,,
309137456,,can,1259.64,114.51,TRY,2025-07-14T22:27:41.237,Paket Siparişi,Kapandı,Coca Cola (330 ml),1.0,0.0,0.0,,
309137456,,can,1259.64,114.51,TRY,2025-07-14T22:27:41.237,Paket Siparişi,Kapandı,Coca Cola (330 ml),1.0,0.0,0.0,,
309137456,,can,1259.64,114.51,TRY,2025-07-14T22:27:41.237,Paket Siparişi,Kapandı,Sos İstemiyorum,1.0,0.0,0.0,,
